"","customerid","gender","seniorcitizen","partner","dependents","tenure","phoneservice","multiplelines","internetservice","onlinesecurity","onlinebackup","deviceprotection","techsupport","streamingtv","streamingmovies","contract","paperlessbilling","paymentmethod","monthlycharges","totalcharges","churn","status"
"5508","5753-QQWPW","Female",0,"No","No",28,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Electronic check",59.9,1654.7,"No",0
"5509","6010-DDPPW","Male",0,"Yes","No",70,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",25.15,1940.85,"No",0
"5510","1809-DMJHQ","Female",0,"No","Yes",5,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",46,221.7,"Yes",1
"5512","6586-MYGKD","Male",0,"Yes","No",70,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",76.95,5289.8,"No",0
"5516","2892-GESUL","Female",0,"Yes","Yes",18,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.35,309.25,"No",0
"5517","6923-EFPNL","Male",0,"No","No",4,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",51.75,201.1,"Yes",1
"5518","7472-EQOAV","Male",1,"Yes","Yes",71,"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","No","One year","Yes","Bank transfer (automatic)",86.7,6179.35,"No",0
"5519","9574-RKJIF","Male",0,"Yes","Yes",30,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",94.4,2838.7,"Yes",1
"5520","2043-WVTQJ","Male",0,"Yes","No",1,"Yes","No","DSL","Yes","No","Yes","No","No","No","Month-to-month","No","Mailed check",55.7,55.7,"No",0
"5521","8034-RYTVV","Female",0,"No","No",55,"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","No","One year","Yes","Credit card (automatic)",84.25,4589.85,"No",0
"5522","3863-QSTYI","Male",0,"No","No",59,"Yes","No","DSL","No","No","Yes","Yes","Yes","No","Month-to-month","Yes","Electronic check",64.65,3735.45,"No",0
"5523","2619-WFQWU","Female",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.15,70.15,"Yes",1
"5524","5044-LRQAQ","Female",0,"Yes","No",7,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",69.2,477.55,"No",0
"5525","1716-LSAMB","Male",0,"Yes","Yes",45,"Yes","No","DSL","Yes","No","No","Yes","No","No","Two year","No","Bank transfer (automatic)",54.65,2553.7,"No",0
"5530","5919-VCZYM","Male",0,"No","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.05,42.7,"No",0
"5531","9644-KVCNC","Female",0,"No","No",66,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","One year","Yes","Bank transfer (automatic)",92.15,6056.9,"No",0
"5533","8174-LNWMW","Female",0,"No","No",31,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.9,689.35,"No",0
"5535","7964-VEXDG","Male",0,"No","Yes",21,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",80.35,1747.2,"No",0
"5537","0778-NELLA","Male",0,"No","No",9,"No","No phone service","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",34.7,296.1,"Yes",1
"5539","4614-NUVZD","Female",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",81.1,81.1,"Yes",1
"5540","4632-PAOYU","Male",0,"Yes","Yes",22,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.95,433.5,"No",0
"5541","3803-KMQFW","Female",0,"Yes","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.55,20.55,"Yes",1
"5543","2990-OGYTD","Female",0,"Yes","No",67,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",86.15,5883.85,"No",0
"5545","9572-MTILT","Male",0,"Yes","No",59,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","Month-to-month","Yes","Electronic check",106.75,6252.9,"Yes",1
"5546","7658-UYUQS","Male",1,"Yes","No",21,"Yes","No","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","No","Bank transfer (automatic)",86.55,1857.25,"No",0
"5552","8457-XIGKN","Male",0,"No","No",20,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Credit card (automatic)",19.6,356.15,"No",0
"5553","6072-NUQCB","Male",0,"Yes","Yes",22,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",20.25,488.25,"No",0
"5556","8750-QWZAJ","Female",0,"Yes","Yes",70,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.8,1378.75,"No",0
"5559","0675-NCDYU","Female",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",116.4,8543.25,"No",0
"5563","8023-QHAIO","Female",1,"Yes","No",56,"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",76.85,4275.75,"No",0
"5564","4397-FRLTA","Female",0,"No","No",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.15,84.5,"No",0
"5566","5087-SUURX","Female",0,"Yes","No",18,"No","No phone service","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",39.05,669.85,"Yes",1
"5567","2302-OUZXB","Male",0,"Yes","No",72,"Yes","Yes","DSL","No","Yes","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",82.15,5784.3,"No",0
"5569","2270-CHBFN","Female",0,"Yes","No",44,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",95.1,4060.55,"No",0
"5570","0013-EXCHZ","Female",1,"Yes","No",3,"Yes","No","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Mailed check",83.9,267.4,"Yes",1
"5571","5982-FPVQN","Female",0,"Yes","Yes",37,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",95.15,3532.85,"No",0
"5573","4654-ULTTN","Male",0,"Yes","No",70,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","Yes","Two year","Yes","Credit card (automatic)",74.8,5315.8,"No",0
"5574","5550-VFRLC","Female",1,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.85,69.85,"Yes",1
"5575","5546-BYZSM","Female",0,"No","No",41,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",20.45,775.6,"No",0
"5580","2225-ZRGSG","Female",0,"Yes","Yes",70,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","No","Bank transfer (automatic)",93.9,6579.05,"Yes",1
"5583","7601-DHFWZ","Female",0,"No","No",48,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",24,1183.05,"No",0
"5587","1998-VHJHK","Female",0,"No","No",27,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.15,501.35,"No",0
"5588","1707-HABPF","Female",1,"No","No",46,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","One year","Yes","Bank transfer (automatic)",91.3,4126.35,"No",0
"5589","1660-HSOOQ","Male",0,"No","No",1,"Yes","No","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",49.65,49.65,"Yes",1
"5591","0487-VVUVK","Male",0,"Yes","Yes",25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.15,477.6,"No",0
"5592","7228-OMTPN","Male",0,"No","No",4,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",88.45,370.65,"Yes",1
"5593","5063-IUOKK","Male",0,"No","No",13,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.75,265.75,"No",0
"5594","4508-OEBEY","Male",0,"Yes","No",31,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",75.5,2424.45,"No",0
"5598","6284-AHOOQ","Male",1,"No","No",22,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",90.5,1910.6,"Yes",1
"5604","1794-HBQTJ","Female",0,"No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",48.6,48.6,"Yes",1
"5606","8049-WJCLQ","Male",0,"Yes","Yes",10,"Yes","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","No","Mailed check",60.2,563.5,"No",0
"5608","2460-FPSYH","Female",1,"No","No",40,"No","No phone service","DSL","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",55.8,2109.35,"Yes",1
"5609","9705-ZJBCG","Female",0,"Yes","Yes",13,"Yes","No","DSL","Yes","No","No","Yes","No","No","One year","No","Bank transfer (automatic)",54.15,701.05,"No",0
"5610","4818-DRBQT","Male",0,"Yes","No",29,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",80.15,2265.25,"Yes",1
"5615","3301-VKTGC","Male",0,"Yes","Yes",68,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","One year","Yes","Bank transfer (automatic)",85.5,5696.6,"No",0
"5617","9555-SAHUZ","Female",0,"Yes","Yes",38,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Electronic check",54.5,2076.05,"No",0
"5619","9932-WBWIK","Male",0,"No","No",11,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.35,215.25,"No",0
"5621","5286-YHCVC","Male",0,"Yes","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",104.8,7470.1,"No",0
"5623","4391-RESHN","Male",0,"No","No",23,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Mailed check",104.05,2470.1,"Yes",1
"5625","4462-CYWMH","Male",1,"Yes","No",62,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",89.8,5629.55,"No",0
"5627","2458-EOMRE","Female",0,"No","No",11,"Yes","No","DSL","Yes","No","Yes","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",64.05,733.95,"No",0
"5631","9801-GDWGV","Female",0,"No","No",39,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",103.45,3994.45,"Yes",1
"5632","6542-LWGXJ","Male",0,"Yes","No",3,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",25,78.25,"No",0
"5636","2087-QAREY","Female",0,"Yes","No",22,"Yes","No","DSL","No","Yes","Yes","No","No","No","Month-to-month","Yes","Mailed check",54.7,1178.75,"No",0
"5641","5393-RXQSZ","Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",79.6,79.6,"Yes",1
"5642","7452-FOLON","Male",0,"No","Yes",39,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",25.45,958.45,"No",0
"5646","4942-VZZOM","Male",0,"Yes","No",64,"Yes","Yes","DSL","Yes","No","No","No","Yes","No","One year","Yes","Credit card (automatic)",66.15,4392.5,"No",0
"5647","5510-BOIUJ","Male",0,"No","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.25,19.25,"Yes",1
"5648","7502-BNYGS","Female",0,"Yes","No",46,"Yes","No","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",69.1,3168,"No",0
"5649","4291-HYEBC","Female",1,"Yes","Yes",28,"No","No phone service","DSL","No","Yes","No","No","No","Yes","One year","Yes","Electronic check",39.1,1096.6,"No",0
"5650","6147-CBCRA","Female",0,"Yes","No",33,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.05,669.45,"No",0
"5653","9752-ZNQUT","Female",0,"No","No",1,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",48.6,48.6,"No",0
"5654","7638-QVMVY","Female",0,"No","No",7,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79,522.95,"Yes",1
"5656","5666-MBJPT","Male",0,"No","No",65,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",25.1,1725,"No",0
"5657","7312-XSBAT","Male",0,"No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",49.75,49.75,"No",0
"5659","2371-JQHZZ","Male",0,"Yes","No",24,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",93,2248.05,"No",0
"5661","1121-QSIVB","Female",0,"No","Yes",44,"Yes","Yes","DSL","No","Yes","No","No","Yes","Yes","One year","Yes","Mailed check",77.55,3471.1,"No",0
"5666","6345-HOVES","Male",0,"No","No",34,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",25.05,852.7,"No",0
"5667","8318-LCNBW","Male",0,"Yes","No",35,"No","No phone service","DSL","Yes","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",53.15,1930.9,"No",0
"5671","7812-FZHPE","Female",0,"Yes","Yes",17,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",24.1,409.9,"Yes",1
"5672","6370-ZVHDV","Female",0,"Yes","No",61,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",25.3,1554.9,"No",0
"5674","6260-XLACS","Male",0,"No","No",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.7,117.8,"No",0
"5677","9103-CXVOK","Male",0,"Yes","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",19.75,19.75,"No",0
"5678","2896-TBNBE","Male",0,"Yes","No",40,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","One year","No","Electronic check",80.8,3132.75,"No",0
"5679","4797-AXPXK","Female",0,"No","Yes",1,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check",60,60,"Yes",1
"5681","6982-UQZLY","Female",1,"Yes","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",20.85,20.85,"Yes",1
"5683","3841-CONLJ","Female",0,"Yes","No",1,"No","No phone service","DSL","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",35,35,"No",0
"5684","5057-LCOUI","Female",0,"No","No",39,"No","No phone service","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",50.75,2011.4,"Yes",1
"5688","9386-LDCZR","Male",0,"No","No",43,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",90.65,3882.3,"No",0
"5689","9585-KKMFD","Male",0,"Yes","Yes",41,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",20,879.8,"No",0
"5690","5399-ZIMKF","Male",0,"No","No",5,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.65,383.65,"No",0
"5692","5619-XZZKR","Male",0,"No","No",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.95,68.2,"No",0
"5696","1813-JYWTO","Female",0,"Yes","No",72,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Two year","No","Bank transfer (automatic)",80.45,5737.6,"No",0
"5697","0156-FVPTA","Male",0,"Yes","No",22,"Yes","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",54.2,1152.7,"Yes",1
"5698","1984-FCOWB","Female",0,"Yes","No",70,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",109.5,7674.55,"Yes",1
"5700","6719-OXYBR","Male",0,"No","No",15,"Yes","No","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","No","Electronic check",85.3,1219.85,"No",0
"5703","5287-QWLKY","Male",1,"Yes","Yes",71,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",105.1,7548.1,"Yes",1
"5705","0168-XZKBB","Female",0,"Yes","No",19,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",86.85,1564.4,"No",0
"5709","7072-MBHEV","Female",1,"Yes","Yes",11,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",78.1,864.85,"No",0
"5710","5602-BVFMK","Female",0,"No","No",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.3,228.75,"No",0
"5711","6297-NOOPG","Female",0,"Yes","No",70,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",110.5,7752.05,"No",0
"5712","1891-UAWWU","Female",1,"Yes","No",20,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","No","Electronic check",90.8,1951,"Yes",1
"5714","8050-DVOJX","Male",1,"No","No",49,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","No","Credit card (automatic)",81.35,4060.9,"No",0
"5715","6108-OQZDQ","Female",0,"Yes","Yes",4,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",97.95,384.5,"Yes",1
"5717","8903-XEBGX","Male",0,"No","Yes",2,"Yes","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",55.3,108.65,"No",0
"5718","8169-SAEJD","Male",1,"Yes","No",69,"No","No phone service","DSL","Yes","Yes","No","No","Yes","Yes","Two year","No","Credit card (automatic)",56.55,3952.65,"No",0
"5719","9840-DVNDC","Male",0,"No","No",6,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",80.5,463.05,"Yes",1
"5720","1089-XZWHH","Female",0,"Yes","Yes",24,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",19.7,494.05,"No",0
"5724","7824-PANSQ","Male",0,"No","No",58,"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",80.65,4807.35,"No",0
"5725","8042-JVNFH","Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",71.35,71.35,"Yes",1
"5726","9648-BCHKM","Female",0,"Yes","Yes",18,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",24.65,471.35,"No",0
"5727","2888-ADFAO","Female",0,"Yes","Yes",47,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",21.3,1041.8,"No",0
"5728","8707-HOEDG","Female",0,"Yes","Yes",70,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",110.2,7689.8,"No",0
"5730","4072-IPYLT","Female",0,"Yes","Yes",36,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",51.05,1815,"No",0
"5733","1580-BMCMR","Male",1,"No","No",19,"Yes","No","Fiber optic","Yes","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",87.3,1637.3,"No",0
"5736","9251-AWQGT","Female",0,"Yes","Yes",48,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20,935.9,"No",0
"5737","8749-CLJXC","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.05,20.05,"No",0
"5739","5049-GLYVG","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.6,20.6,"Yes",1
"5744","2384-OVPSA","Female",1,"No","No",38,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.2,735.9,"No",0
"5745","1371-WEPDS","Male",1,"Yes","No",40,"Yes","No","DSL","No","No","No","No","No","Yes","One year","No","Electronic check",55.8,2283.3,"No",0
"5747","4817-QRJSX","Female",0,"No","No",10,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",81,818.05,"Yes",1
"5748","9730-DRTMJ","Male",0,"Yes","No",32,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","One year","Yes","Credit card (automatic)",72.8,2333.05,"No",0
"5749","4686-UXDML","Female",0,"No","No",21,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.85,1992.55,"No",0
"5751","2398-YPMUR","Female",1,"Yes","No",13,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.15,916.75,"Yes",1
"5754","7636-XUHWW","Male",0,"No","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Credit card (automatic)",19.9,33.7,"No",0
"5756","5937-EORGB","Male",1,"Yes","No",15,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",96.5,1392.25,"No",0
"5758","5539-HIVAK","Female",1,"Yes","No",28,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",25.7,734.6,"No",0
"5759","5847-MXBEO","Male",0,"No","No",22,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.3,475.1,"No",0
"5760","9985-MWVIX","Female",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.15,70.15,"Yes",1
"5763","1421-HCERK","Male",1,"Yes","No",30,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",105.7,3181.8,"No",0
"5764","9633-XQABV","Female",0,"No","No",3,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.25,229.7,"No",0
"5773","8645-KOMJQ","Male",0,"Yes","Yes",69,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",81.95,5601.4,"No",0
"5774","0289-IVARM","Female",0,"No","No",35,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","No","Electronic check",60.55,1982.6,"No",0
"5775","9761-XUJWD","Male",0,"No","No",5,"Yes","No","DSL","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",65.6,339.9,"No",0
"5776","4057-FKCZK","Male",0,"Yes","Yes",58,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Two year","No","Bank transfer (automatic)",82.5,4828.05,"No",0
"5783","4871-JTKJF","Female",1,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.65,69.65,"Yes",1
"5785","7401-RUBNK","Female",0,"Yes","No",18,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",74.8,1438.05,"No",0
"5787","8661-BOYNW","Female",0,"Yes","No",72,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",84.4,6096.45,"No",0
"5789","4815-GBTCD","Female",0,"Yes","No",4,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",25.15,99.95,"No",0
"5790","2805-AUFQN","Female",0,"No","No",25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.8,475.2,"No",0
"5792","7233-DRTRF","Male",0,"Yes","No",63,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",102.4,6444.05,"No",0
"5796","7048-GXDAY","Male",0,"No","No",39,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.4,4040.65,"No",0
"5798","1169-WCVAK","Male",0,"Yes","No",19,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",88.8,1672.35,"No",0
"5799","4548-SDBKE","Female",0,"No","No",5,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",85.2,474.8,"Yes",1
"5800","8066-POXGX","Female",0,"No","No",13,"No","No phone service","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",35.1,446.1,"Yes",1
"5801","7129-CAKJW","Female",0,"No","No",17,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",80.05,1345.65,"No",0
"5802","8695-ARGXZ","Male",1,"Yes","No",34,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.55,2425.4,"No",0
"5805","1555-HAPSU","Female",0,"Yes","Yes",71,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",23.9,1663.5,"No",0
"5806","1697-NVVGY","Male",1,"Yes","No",19,"Yes","No","DSL","Yes","No","Yes","No","Yes","No","Month-to-month","No","Bank transfer (automatic)",66.4,1286.05,"No",0
"5808","8464-EETCQ","Male",0,"No","No",57,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",18.8,1094.35,"No",0
"5809","2419-FSORS","Male",0,"Yes","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",108.4,7719.5,"No",0
"5810","8132-YPVBX","Female",0,"No","No",6,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Mailed check",85.95,514.6,"No",0
"5811","9102-IAYHT","Female",0,"Yes","Yes",17,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.45,1451.6,"Yes",1
